trade_type,acct_num,sec_symbol,trade_date,trade_lot,transaction_id
SELL,CO-37971,UA,2017-02-10,60000,03254564
BUY,CO-37971,DIS,2016-08-10,20000,01563245
SELL,CO-37971,DIS,2017-01-23,20000,01563245
BUY,CO-37971,DIS,2016-08-02,50000,05950715
SELL,CO-37971,DIS,2017-07-24,50000,05950715
BUY,CO-37971,CMG,2016-06-27,20000,04477378
SELL,CO-37971,CMG,2016-11-18,20000,04477378
BUY,CO-37971,NKE,2016-05-16,60000,03543476
SELL,CO-37971,NKE,2017-06-09,60000,03543476
BUY,CO-37971,DIS,2016-06-08,60000,01723086
SELL,CO-37971,DIS,2017-08-30,60000,01723086
BUY,CO-37971,DIS,2016-07-25,60000,04700789
SELL,CO-37971,DIS,2017-01-20,60000,04700789
BUY,CO-37971,AMD,2016-05-19,30000,02888011
SELL,CO-37971,AMD,2017-03-03,30000,02888011
BUY,CO-37971,NKE,2016-06-20,10000,07148617
SELL,CO-37971,NKE,2017-02-03,10000,07148617
BUY,CO-37971,CRM,2016-05-19,50000,08572054
SELL,CO-37971,CRM,2016-09-06,50000,08572054
BUY,CO-37971,DIS,2016-04-13,90000,08046187
SELL,CO-37971,DIS,2017-03-16,90000,08046187
BUY,CO-37971,SQ,2016-07-05,10000,03663654
SELL,CO-37971,SQ,2016-12-09,10000,03663654
BUY,CO-37971,NKE,2016-05-18,40000,07574128
SELL,CO-37971,NKE,2017-09-21,40000,07574128
BUY,CO-37971,SQ,2016-04-07,10000,06736989
SELL,CO-37971,SQ,2016-11-09,10000,06736989
BUY,CO-37971,CRM,2016-06-10,20000,03657327
SELL,CO-37971,CRM,2016-10-10,20000,03657327
BUY,CO-37971,COF,2016-06-15,80000,02791086
SELL,CO-37971,COF,2017-08-11,80000,02791086
BUY,CO-37971,UA,2016-06-02,10000,02604046
SELL,CO-37971,UA,2017-08-24,10000,02604046
BUY,CO-37971,COF,2016-05-03,10000,03521245
SELL,CO-37971,COF,2016-07-25,10000,03521245
BUY,CO-37971,NKE,2016-08-08,10000,05017343
SELL,CO-37971,NKE,2017-02-21,10000,05017343
BUY,CO-37971,AMD,2016-04-06,50000,02890262
SELL,CO-37971,AMD,2016-10-31,50000,02890262
BUY,CO-37971,UA,2016-05-18,40000,05732954
SELL,CO-37971,UA,2017-02-03,40000,05732954
BUY,CO-37971,COF,2016-04-08,80000,08725489
SELL,CO-37971,COF,2016-12-05,80000,08725489
BUY,CO-37971,AMD,2016-06-20,10000,04923332
SELL,CO-37971,AMD,2017-12-04,10000,04923332
BUY,CO-37971,INTC,2016-04-12,40000,04777421
SELL,CO-37971,INTC,2016-08-01,40000,04777421
BUY,CO-37971,DIS,2016-07-26,20000,01181774
SELL,CO-37971,DIS,2016-12-13,20000,01181774
BUY,CO-37971,MSFT,2016-06-16,70000,08360386
SELL,CO-37971,MSFT,2017-09-05,70000,08360386
BUY,CO-37971,NKE,2016-04-12,60000,01427172
SELL,CO-37971,NKE,2016-09-16,60000,01427172
BUY,CO-37971,CMG,2016-07-25,20000,07122598
SELL,CO-37971,CMG,2017-05-18,20000,07122598
BUY,CO-37971,MSFT,2016-04-25,40000,09032272
SELL,CO-37971,MSFT,2016-08-19,40000,09032272
BUY,CO-37971,CMG,2016-07-06,70000,06723649
SELL,CO-37971,CMG,2016-11-09,70000,06723649
BUY,CO-37971,AMD,2016-06-29,40000,05044467
SELL,CO-37971,AMD,2017-06-09,40000,05044467
BUY,CO-37971,DIS,2016-06-16,80000,08051577
SELL,CO-37971,DIS,2017-01-09,80000,08051577
BUY,CO-37971,NKE,2016-04-14,70000,09655846
SELL,CO-37971,NKE,2017-08-03,70000,09655846
BUY,CO-37971,COF,2016-04-26,50000,02216529
SELL,CO-37971,COF,2016-11-03,50000,02216529
BUY,CO-37971,NKE,2016-06-03,40000,03495578
SELL,CO-37971,NKE,2017-09-18,40000,03495578
BUY,CO-37971,CMG,2016-07-20,80000,02692358
SELL,CO-37971,CMG,2016-12-30,80000,02692358
BUY,CO-37971,MSFT,2016-07-22,70000,03736248
SELL,CO-37971,MSFT,2016-12-13,70000,03736248
BUY,CO-37971,DIS,2016-07-12,80000,05946660
SELL,CO-37971,DIS,2017-11-07,80000,05946660
BUY,CO-37971,MSFT,2016-04-05,90000,08892181
SELL,CO-37971,MSFT,2016-10-03,90000,08892181
BUY,CO-37971,INTC,2016-05-04,40000,09396738
SELL,CO-37971,INTC,2017-03-20,40000,09396738
BUY,CO-37971,DIS,2016-05-06,10000,03480037
SELL,CO-37971,DIS,2017-05-01,10000,03480037
BUY,CO-37971,MSFT,2016-06-22,10000,02153157
SELL,CO-37971,MSFT,2017-05-09,10000,02153157
BUY,CO-37971,UA,2016-08-08,50000,08268974
SELL,CO-37971,UA,2017-10-24,50000,08268974
BUY,CO-37971,MSFT,2016-05-05,30000,01865559
SELL,CO-37971,MSFT,2016-09-19,30000,01865559
BUY,CO-37971,INTC,2016-05-04,80000,08822729
SELL,CO-37971,INTC,2017-05-12,80000,08822729
BUY,CO-37971,INTC,2016-06-28,20000,01441213
SELL,CO-37971,INTC,2016-09-22,20000,01441213
BUY,CO-37971,NKE,2016-05-04,40000,07395183
SELL,CO-37971,NKE,2017-10-30,40000,07395183
BUY,CO-37971,MSFT,2016-06-27,50000,06830853
SELL,CO-37971,MSFT,2017-12-04,50000,06830853
BUY,CO-37971,DIS,2016-06-02,50000,07005415
SELL,CO-37971,DIS,2017-11-15,50000,07005415
BUY,CO-37971,DIS,2016-04-07,70000,08791796
SELL,CO-37971,DIS,2017-02-17,70000,08791796
BUY,CO-37971,AMD,2016-04-19,20000,02506646
SELL,CO-37971,AMD,2017-02-27,20000,02506646
BUY,CO-37971,SQ,2016-06-30,70000,04806926
SELL,CO-37971,SQ,2017-10-31,70000,04806926
BUY,CO-37971,INTC,2016-06-07,50000,08649316
SELL,CO-37971,INTC,2016-10-20,50000,08649316
BUY,CO-37971,DIS,2016-06-07,80000,08730291
SELL,CO-37971,DIS,2017-10-27,80000,08730291
BUY,CO-37971,NKE,2016-04-20,50000,05872960
SELL,CO-37971,NKE,2016-11-02,50000,05872960
BUY,CO-37971,SQ,2016-07-05,80000,08227831
SELL,CO-37971,SQ,2017-11-29,80000,08227831
BUY,CO-37971,CRM,2016-08-04,40000,08233398
SELL,CO-37971,CRM,2017-05-05,40000,08233398
BUY,CO-37971,CRM,2016-07-29,70000,09023637
SELL,CO-37971,CRM,2016-10-11,70000,09023637
BUY,CO-37971,MSFT,2016-04-21,20000,02988887
SELL,CO-37971,MSFT,2016-06-21,20000,02988887
BUY,CO-37971,AMD,2016-05-24,90000,08059548
SELL,CO-37971,AMD,2017-12-08,90000,08059548
BUY,CO-37971,AMD,2016-05-17,90000,01783377
SELL,CO-37971,AMD,2016-08-31,90000,01783377
BUY,CO-37971,CMG,2016-05-02,90000,08509256
SELL,CO-37971,CMG,2017-04-12,90000,08509256
BUY,CO-37971,NKE,2016-04-15,70000,05430970
SELL,CO-37971,NKE,2017-01-03,70000,05430970
BUY,CO-37971,CMG,2016-04-28,10000,06707765
SELL,CO-37971,CMG,2017-06-08,10000,06707765
BUY,CO-37971,CMG,2016-07-20,70000,02362108
SELL,CO-37971,CMG,2017-10-30,70000,02362108
BUY,CO-37971,UA,2016-05-05,30000,02056473
SELL,CO-37971,UA,2016-07-18,30000,02056473
BUY,CO-37971,INTC,2016-06-29,30000,07233737
SELL,CO-37971,INTC,2018-01-03,30000,07233737
BUY,CO-37971,SQ,2016-07-18,70000,03139875
SELL,CO-37971,SQ,2016-12-09,70000,03139875
BUY,CO-37971,INTC,2016-04-18,50000,08248914
SELL,CO-37971,INTC,2016-07-07,50000,08248914
BUY,CO-37971,UA,2016-06-14,40000,09549782
SELL,CO-37971,UA,2016-09-28,40000,09549782
BUY,CO-37971,DIS,2016-06-07,40000,02639851
SELL,CO-37971,DIS,2016-12-22,40000,02639851
BUY,CO-37971,INTC,2016-05-04,20000,06341705
SELL,CO-37971,INTC,2017-10-06,20000,06341705
BUY,CO-37971,CRM,2016-05-19,10000,03902488
SELL,CO-37971,CRM,2017-05-18,10000,03902488
BUY,CO-37971,UA,2016-08-02,90000,02971954
SELL,CO-37971,UA,2017-09-19,90000,02971954
BUY,CO-37971,INTC,2016-07-21,60000,01774385
SELL,CO-37971,INTC,2017-04-28,60000,01774385
BUY,CO-37971,COF,2016-04-13,60000,05108722
SELL,CO-37971,COF,2017-08-22,60000,05108722
BUY,CO-37971,NKE,2016-05-26,80000,04871236
SELL,CO-37971,NKE,2017-11-07,80000,04871236
BUY,CO-37971,CRM,2016-07-08,90000,09519152
SELL,CO-37971,CRM,2017-12-29,90000,09519152
BUY,CO-37971,AMD,2016-06-03,20000,04803055
SELL,CO-37971,AMD,2017-09-06,20000,04803055
BUY,CO-37971,CMG,2016-08-05,90000,09703669
SELL,CO-37971,CMG,2016-11-21,90000,09703669
BUY,CO-37971,NKE,2016-08-01,70000,06722052
SELL,CO-37971,NKE,2017-07-10,70000,06722052
BUY,CO-37971,DIS,2016-04-25,30000,08289886
SELL,CO-37971,DIS,2016-06-13,30000,08289886
BUY,CO-37971,SQ,2016-05-09,10000,07070627
SELL,CO-37971,SQ,2017-08-11,10000,07070627
BUY,CO-37971,UA,2016-07-07,20000,06284032
SELL,CO-37971,UA,2017-09-26,20000,06284032
BUY,CO-37971,AMD,2016-04-08,60000,05113299
SELL,CO-37971,AMD,2016-06-13,60000,05113299
BUY,CO-37971,AMD,2016-07-22,10000,08437762
SELL,CO-37971,AMD,2017-11-10,10000,08437762
BUY,CO-37971,DIS,2016-05-12,70000,01950469
SELL,CO-37971,DIS,2017-10-30,70000,01950469
BUY,CO-37971,AMD,2016-07-06,10000,05338216
SELL,CO-37971,AMD,2016-11-28,10000,05338216
BUY,CO-37971,UA,2016-04-26,80000,07484604
SELL,CO-37971,UA,2016-08-05,80000,07484604
BUY,CO-37971,COF,2016-05-26,20000,06237441
SELL,CO-37971,COF,2017-10-18,20000,06237441
BUY,CO-37971,AMD,2016-07-06,20000,02788567
SELL,CO-37971,AMD,2018-01-10,20000,02788567
BUY,CO-37971,MSFT,2016-04-18,70000,06700421
SELL,CO-37971,MSFT,2017-05-26,70000,06700421
BUY,CO-37971,CMG,2016-04-08,10000,09378311
SELL,CO-37971,CMG,2017-03-13,10000,09378311
BUY,CO-37971,SQ,2016-05-04,40000,08735798
SELL,CO-37971,SQ,2016-08-02,40000,08735798
BUY,CO-37971,COF,2016-06-22,20000,05654553
SELL,CO-37971,COF,2016-11-01,20000,05654553
BUY,CO-37971,CRM,2016-04-12,60000,02903059
SELL,CO-37971,CRM,2016-12-27,60000,02903059
BUY,CO-37971,NKE,2016-06-23,70000,04968724
SELL,CO-37971,NKE,2017-09-22,70000,04968724
BUY,CO-37971,INTC,2016-07-20,60000,07671146
SELL,CO-37971,INTC,2017-09-08,60000,07671146
BUY,CO-37971,INTC,2016-04-08,30000,02614190
SELL,CO-37971,INTC,2016-08-26,30000,02614190
BUY,CO-37971,INTC,2016-06-14,80000,05645902
SELL,CO-37971,INTC,2017-05-18,80000,05645902
BUY,CO-37971,CMG,2016-07-22,20000,01742784
SELL,CO-37971,CMG,2017-06-26,20000,01742784
BUY,CO-37971,INTC,2016-08-09,60000,02408968
SELL,CO-37971,INTC,2016-12-01,60000,02408968
BUY,CO-37971,UA,2016-06-22,40000,09288362
SELL,CO-37971,UA,2017-04-13,40000,09288362
BUY,CO-37971,SQ,2016-07-20,40000,09069769
SELL,CO-37971,SQ,2017-06-19,40000,09069769
BUY,CO-37971,COF,2016-06-22,40000,07904345
SELL,CO-37971,COF,2016-09-19,40000,07904345
BUY,CO-37971,CMG,2016-04-07,40000,03532515
SELL,CO-37971,CMG,2016-06-27,40000,03532515
BUY,CO-37971,CMG,2016-05-12,60000,09715918
SELL,CO-37971,CMG,2017-12-07,60000,09715918
BUY,CO-37971,NKE,2016-08-09,40000,08963673
SELL,CO-37971,NKE,2016-12-20,40000,08963673
BUY,CO-37971,SQ,2016-07-07,90000,05002583
SELL,CO-37971,SQ,2017-04-13,90000,05002583
BUY,CO-37971,INTC,2016-07-13,70000,03957133
SELL,CO-37971,INTC,2017-02-22,70000,03957133
BUY,CO-37971,UA,2016-04-05,10000,02550237
SELL,CO-37971,UA,2016-07-13,10000,02550237
BUY,CO-37971,NKE,2016-05-02,30000,07814487
SELL,CO-37971,NKE,2017-05-15,30000,07814487
BUY,CO-37971,INTC,2016-04-15,10000,04530702
SELL,CO-37971,INTC,2017-01-10,10000,04530702
BUY,CO-37971,COF,2016-04-06,20000,07304302
SELL,CO-37971,COF,2017-08-30,20000,07304302
BUY,CO-37971,AMD,2016-04-20,90000,08390221
SELL,CO-37971,AMD,2017-06-05,90000,08390221
BUY,CO-37971,INTC,2016-04-13,80000,03313234
SELL,CO-37971,INTC,2017-08-18,80000,03313234
BUY,CO-37971,UA,2016-05-11,50000,05934139
SELL,CO-37971,UA,2017-04-07,50000,05934139
BUY,CO-37971,NKE,2016-07-06,70000,07267152
SELL,CO-37971,NKE,2016-09-06,70000,07267152
BUY,CO-37971,MSFT,2016-06-29,90000,03803228
SELL,CO-37971,MSFT,2017-04-03,90000,03803228
BUY,CO-37971,CMG,2016-06-30,70000,06478686
SELL,CO-37971,CMG,2016-10-03,70000,06478686
BUY,CO-37971,SQ,2016-04-25,10000,07623751
SELL,CO-37971,SQ,2016-10-21,10000,07623751
BUY,CO-37971,COF,2016-06-16,50000,05006215
SELL,CO-37971,COF,2017-07-17,50000,05006215
BUY,CO-37971,MSFT,2016-06-06,10000,06336746
SELL,CO-37971,MSFT,2017-08-16,10000,06336746
BUY,CO-37971,MSFT,2016-05-19,70000,08348550
SELL,CO-37971,MSFT,2017-10-18,70000,08348550
BUY,CO-37971,SQ,2016-05-04,80000,07642333
SELL,CO-37971,SQ,2017-04-26,80000,07642333
BUY,CO-37971,NKE,2016-04-07,20000,05220282
SELL,CO-37971,NKE,2017-11-02,20000,05220282
BUY,CO-37971,AMD,2016-07-21,80000,06819650
SELL,CO-37971,AMD,2016-09-12,80000,06819650
BUY,CO-37971,SQ,2016-06-01,50000,09787073
SELL,CO-37971,SQ,2017-04-12,50000,09787073
BUY,CO-37971,AMD,2016-05-12,70000,09991573
SELL,CO-37971,AMD,2016-10-13,70000,09991573
BUY,CO-37971,MSFT,2016-04-19,70000,06551528
SELL,CO-37971,MSFT,2017-01-18,70000,06551528
BUY,CO-37971,INTC,2017-03-28,70000,07101973
SELL,CO-37971,INTC,2019-03-20,70000,07101973
BUY,CO-37971,COF,2017-01-25,40000,06868436
SELL,CO-37971,COF,2019-11-22,40000,06868436
BUY,CO-37971,UA,2017-07-26,40000,01793403
SELL,CO-37971,UA,2020-02-24,40000,01793403
BUY,CO-37971,DIS,2017-05-03,70000,09589001
SELL,CO-37971,DIS,2020-04-13,70000,09589001
BUY,CO-37971,CRM,2017-10-02,10000,06899159
SELL,CO-37971,CRM,2019-12-27,10000,06899159
BUY,CO-37971,UA,2017-06-14,20000,04599512
SELL,CO-37971,UA,2020-04-13,20000,04599512
BUY,CO-37971,COF,2017-01-19,10000,09438749
SELL,CO-37971,COF,2019-06-12,10000,09438749
BUY,CO-37971,DIS,2017-03-06,60000,05154918
SELL,CO-37971,DIS,2019-10-04,60000,05154918
BUY,CO-37971,CMG,2017-08-25,50000,06018131
SELL,CO-37971,CMG,2019-08-19,50000,06018131
BUY,CO-37971,COF,2017-09-29,30000,04836239
SELL,CO-37971,COF,2020-01-10,30000,04836239
BUY,CO-37971,COF,2017-06-28,70000,07843332
SELL,CO-37971,COF,2019-08-08,70000,07843332
BUY,CO-37971,MSFT,2017-01-13,30000,07779335
SELL,CO-37971,MSFT,2019-06-12,30000,07779335
BUY,CO-37971,CRM,2017-01-11,80000,05085559
SELL,CO-37971,CRM,2019-07-23,80000,05085559
BUY,CO-37971,COF,2017-04-25,50000,07680627
SELL,CO-37971,COF,2019-01-25,50000,07680627
BUY,CO-37971,AMD,2017-01-18,60000,03659632
SELL,CO-37971,AMD,2019-12-23,60000,03659632
BUY,CO-37971,DIS,2017-04-06,90000,03117583
SELL,CO-37971,DIS,2019-03-20,90000,03117583
BUY,CO-37971,DIS,2017-05-23,30000,03756169
SELL,CO-37971,DIS,2019-06-12,30000,03756169
BUY,CO-37971,MSFT,2017-04-07,60000,08452783
SELL,CO-37971,MSFT,2018-12-26,60000,08452783
BUY,CO-37971,UA,2017-02-13,10000,09379342
SELL,CO-37971,UA,2019-11-12,10000,09379342
BUY,CO-37971,MSFT,2017-10-16,40000,08461662
SELL,CO-37971,MSFT,2019-08-07,40000,08461662
BUY,CO-37971,MSFT,2017-09-25,20000,01219145
SELL,CO-37971,MSFT,2020-09-18,20000,01219145
BUY,CO-37971,NKE,2017-05-25,60000,08736762
SELL,CO-37971,NKE,2019-01-31,60000,08736762
BUY,CO-37971,CMG,2017-06-14,60000,09882578
SELL,CO-37971,CMG,2020-06-05,60000,09882578
BUY,CO-37971,MSFT,2017-06-02,20000,07042209
SELL,CO-37971,MSFT,2019-01-10,20000,07042209
BUY,CO-37971,CMG,2017-04-27,60000,06938736
SELL,CO-37971,CMG,2019-03-11,60000,06938736
BUY,CO-37971,SQ,2017-01-19,30000,01747359
SELL,CO-37971,SQ,2019-02-28,30000,01747359
BUY,CO-37971,UA,2017-05-15,30000,06163673
SELL,CO-37971,UA,2019-02-06,30000,06163673
BUY,CO-37971,NKE,2017-02-06,50000,09229959
SELL,CO-37971,NKE,2019-02-25,50000,09229959
BUY,CO-37971,CRM,2017-04-05,30000,02423872
SELL,CO-37971,CRM,2019-01-08,30000,02423872
BUY,CO-37971,SQ,2017-09-27,10000,09446426
SELL,CO-37971,SQ,2019-07-25,10000,09446426
BUY,CO-37971,INTC,2017-01-23,70000,08383556
SELL,CO-37971,INTC,2020-02-14,70000,08383556
BUY,CO-37971,NKE,2017-02-27,10000,08310001
SELL,CO-37971,NKE,2019-04-10,10000,08310001
BUY,CO-37971,CRM,2017-02-17,80000,02845701
SELL,CO-37971,CRM,2019-03-11,80000,02845701
BUY,CO-37971,DIS,2017-04-24,60000,03228074
SELL,CO-37971,DIS,2020-02-04,60000,03228074
BUY,CO-37971,MSFT,2017-10-17,60000,03985275
SELL,CO-37971,MSFT,2020-10-14,60000,03985275
BUY,CO-37971,MSFT,2017-04-11,20000,07093610
SELL,CO-37971,MSFT,2018-11-27,20000,07093610
BUY,CO-37971,NKE,2017-08-14,70000,09083636
SELL,CO-37971,NKE,2019-04-04,70000,09083636
BUY,CO-37971,AMD,2017-10-10,60000,07595792
SELL,CO-37971,AMD,2019-12-23,60000,07595792
BUY,CO-37971,DIS,2017-05-10,50000,03717226
SELL,CO-37971,DIS,2019-04-17,50000,03717226
BUY,CO-37971,NKE,2017-07-26,80000,02553598
SELL,CO-37971,NKE,2020-08-14,80000,02553598
BUY,CO-37971,NKE,2017-10-04,80000,06124004
SELL,CO-37971,NKE,2020-01-07,80000,06124004
BUY,CO-37971,INTC,2017-07-31,50000,05891421
SELL,CO-37971,INTC,2020-03-20,50000,05891421
BUY,CO-37971,AMD,2017-09-07,70000,03245336
SELL,CO-37971,AMD,2020-08-27,70000,03245336
BUY,CO-37971,NKE,2017-03-13,60000,07124705
SELL,CO-37971,NKE,2019-10-16,60000,07124705
BUY,CO-37971,INTC,2017-01-17,80000,07670345
SELL,CO-37971,INTC,2018-12-06,80000,07670345
BUY,CO-37971,INTC,2017-08-29,10000,06179112
SELL,CO-37971,INTC,2020-01-09,10000,06179112
BUY,CO-37971,COF,2017-06-22,30000,04585888
SELL,CO-37971,COF,2019-10-02,30000,04585888
BUY,CO-37971,MSFT,2017-03-22,40000,07433851
SELL,CO-37971,MSFT,2019-12-26,40000,07433851
BUY,CO-37971,CRM,2017-05-31,90000,02960870
SELL,CO-37971,CRM,2019-09-23,90000,02960870
BUY,CO-37971,INTC,2017-01-12,80000,02314709
